,almanca,turkce
0,die Manie,takıntı
1,das Navigationssystem,"GPS, navigasyon sistemi"
2,die Sucht,bağımlılık
3,jemandem Aufmerksamkeit schenken,birine dikkatini vermek
4,die Albernheit,"aptallık, saçmalık (a.)"
5,die Beschleunigung,hızlanma (b.)
6,die Glosse,polemik yorum (g.)
7,der Held,"kahraman, şampiyon (erkek)"
8,die Heldin,"kahraman, şampiyon (bayan)"
9,die Kolumne,"sütun, op-ed"
10,die Nahrungsaufnahme,besin alımı
11,die Rastlosigkeit,huzursuzluk
12,die Reduktion,"azalma, azaltma"
13,die Suchmaschine,arama motoru
14,beeinträchtigen,"bozmak, zayıflatmak"
15,benötigen,"talep etmek, ihtiyaç duymak, eksik olmak (b.)"
16,kraulen,"okşamak, gıdıklamak (k.)"
17,reflektieren,yansıtmak
18,sich widersetzen,"bir şeye karşı durmak, meydan okumak"
19,zur Kenntnis nehmen,"not almak, dikkat etmek"
20,die Segel streichen,"yelkenleri suya indirmek, bırakmak"
21,sich einer Sache entscheiden,karar vermek
22,analog,analog
23,hektisch,telaşlı
24,ironisch,"ironik, alaycı"
25,unaufhaltsam,"durdurulamayan, amansız"
26,würdevoll,"ağırbaşlı, şerefli, zerafetli"
27,jemals,"hiç, bir gün"
28,wohingehen,iken
29,der Neid,"kıskançlık, haset"
30,die Priorität,öncelik
31,das Schicksal,kader
32,die Solidarität,dayanışma
33,gönnen,"çok görmemek, kabul etmek, kıskanmamak"
34,sich gönnen,"kendine bir zevk ya da tatil izni vermek, tadını çıkarmak"
35,missglücken,"başarısız olmak, suya düşmek"
36,missgönnen,"bir şeyi birine çok görmek, esirgemek, kıskanmak"
37,zerreden,konuşarak bastırmak
38,sich eine Sache bewusst machen,"kendini bir şey hakkında bilgilendirmek, bir şey hakkında farkında olmak"
39,bürgerschaftlich,kentsel
40,inwiefern,"ne dereceye kadar, ne yönden"
41,das Bewusstsein,"bilinç, farkındalık"
42,die Einsicht,"anlayış, idrak, algı"
43,der Misserfolg,başarısızlık
44,entschlüsseln,"kodunu çözmek, deşifre etmek (e.)"
45,entsorgen,"imha etmek, çöp toplamak ve yok etmek"
46,hacken,"doğramak, kesmek (h.)"
47,missachten,"ihmal etmek, hiçe saymak"
48,missfallen,"hoşnut etmemek, gücendirmek"
49,misslingen,"başarısız olmak, düşük yapmak"
50,missraten,"başarısız olmak, yanlış gitmek"
51,missverstehen,"yanlış anlamak, hata yapmak"
52,platzen,"patlamak, çatırdamak (p.)"
53,schiefgehen,"ters gitmek, başıboş dolaşmak"
54,verzweifeln,umutsuzluğa düşmek
55,zerdrücken,ezmek
56,zerfallen,"çürümek, ayrışmak (z.)"
57,zerfließen,eritmek
58,zergehen,"azalmak, çözmek (zerg.)"
59,zerhacken,"kıymak, kesmek (z.)"
60,zerkochen,fazla pişirmek (z.)
61,zerlaufen,"eritmek (tereyağı), akmak (dondurma)"
62,zerlegen,sökmek
63,zerplatzen,patlamak
64,zerreißen,"yırtmak, koparmak, sökmek"
65,zerschneiden,"kesmek, oymak"
66,zerspringen,"patlamak, kırılmak"
67,zerstreuen,"dağıtmak, saçmak"
68,die Anspielung,"ipucu, ima, nüans"
69,der Aufbruch,ayrılış
70,die Ballade,türkü
71,der Knast,hapishane
72,der Schiedsrichter,hakem
73,der Schwamm,sünger
74,der Touch,dokunma
75,wenn sich der Staub legt,"toz çöktüğünde (cümle), ortalık durulduğunda"
76,melancholisch,melankolik
77,der Zahn der Zeit,zamanın tahribatı (cümle)
78,deaktivieren,devre dışı bırakmak
79,dehydrieren,kurutmak
80,deinstallieren,kaldırmak
81,demotivieren,"demotive etmek, cesaretini kırmak"
82,destabilisieren,dengesizleştirmek
83,entgiften,"detoks yapmak, zehrini almak"
84,entkernen,çekirdeğini çıkarmak
85,entkleiden,"giysileri çıkarmak, soyunmak (ent.)"
86,entmutigen,"göz korkutmak, cesaret kırmak"
87,entsaften,suyunu çıkarmak
88,entzaubern,"büyüden kurtarmak, gözünü açmak"
89,entziehen,"mahrum etmek, elinden almak"
90,verspannt,"sinirli, gergin"
91,die Andeutung,"ipucu, isaret, ima"
92,das Drama,dram
93,die Imagination,hayal gücü
94,die Miene,"yüz ifadesi, cehre"
95,die Pointe,nükte
96,sich andeuten,belirtilmek
97,komponieren,oluşturmak
98,locken,cezbetmek
